Pays,Substance,Message
El Salvador,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Alpha-phénylacétoacétonitrile,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,N-phénylpipéridine-4-amine,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Emirats Arabe Unis,Anhydride acétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Phosphore rouge,Pas d'autorisation d'exportation requise et pas d'information à l'importation.
Emirats Arabe Unis,Acide phénylacétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Acide anthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Pipéridine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Permanganate de potassium,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Acide chlorhydrique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Emirats Arabe Unis,Acide sulfurique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Emirats Arabe Unis,Toluéne,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Ether éthylique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Acétone,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Méthyléthylcétone,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Emirats Arabe Unis,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Alpha-phénylacétoacétonitrile,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,N-phénylpipéridine-4-amine,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Anhydride acétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Phosphore rouge,Pas d'autorisation d'exportation requise et pas d'information à l'importation.
Equateur,Acide phénylacétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Acide anthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Pipéridine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Permanganate de potassium,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Acide chlorhydrique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Acide sulfurique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Toluéne,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Ether éthylique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Acétone,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Méthyléthylcétone,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Equateur,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Equateur,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Alpha-phénylacétoacétonitrile,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,N-phénylpipéridine-4-amine,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Anhydride acétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Phosphore rouge,Pas d'autorisation d'exportation requise et pas d'information à l'importation.
Erythrée,Acide phénylacétique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Acide anthranilique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Erythrée,Pipéridine,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Erythrée,Permanganate de potassium,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Erythrée,Acide chlorhydrique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Erythrée,Acide sulfurique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Erythrée,Toluéne,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Erythrée,Ether éthylique,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Erythrée,Acétone,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Erythrée,Méthyléthylcétone,"Pas d'autorisation d'exportation requise, mais autorisation requise (spécifique) à l'importation."
Erythrée,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Erythrée,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Alpha-phénylacétoacétonitrile,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Espagne,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,N-phénylpipéridine-4-amine,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Espagne,Anhydride acétique,Autorisation d'exportation requise sans autorisation à l'importation.
Espagne,Phosphore rouge,Pas d'autorisation d'exportation requise et pas d'information à l'importation.
Espagne,Acide phénylacétique,Autorisation d'exportation requise sans autorisation à l'importation.
Espagne,Acide anthranilique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Espagne,Pipéridine,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Espagne,Permanganate de potassium,Autorisation d'exportation requise sans autorisation à l'importation.
Espagne,Acide chlorhydrique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Espagne,Acide sulfurique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Espagne,Toluéne,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Espagne,Ether éthylique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Espagne,Acétone,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Espagne,Méthyléthylcétone,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Espagne,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Espagne,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Espagne,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Espagne,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Estonie,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Alpha-phénylacétoacétamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Phényl 1 Propanone 2,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Acide N-acétylanthranilique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Isosafrole (cis + trans),Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Pipéronal,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Safrole,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Chloroéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Chloropseudoéphédrine,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Ephédrine (matiére premiére),Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Pseudoéphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Noréphédrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Ergométrine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Ergotamine,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Acide lysergique,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Huile de sassafras,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Alpha-phénylacétoacétonitrile,Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation + autorisation d'importation (spécifique) nécessaires.
Estonie,Alpha-phénylacétoacétate d'éthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,3-oxo-2-(3.4-méthylénedioxyphényl) butanoate de méthyle,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Diéthyl (phénylacétyl) propanédio ate,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Ethyl 3-(2H-1.3-benzodioxol-5- yl) 2-méthyloxirane 2-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,N-phénylpipéridine-4-amine,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Tert-butyl 4-anilinopipéridine-1-carboxylate,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,N-phényl-N-(pipéridine-4-yl) propanamide,Autorisation d'exportation requise mais pas d'information à l'importation.
Estonie,Anhydride acétique,Autorisation d'exportation requise sans autorisation à l'importation.
Estonie,Phosphore rouge,Pas d'autorisation d'exportation requise et pas d'information à l'importation.
Estonie,Acide phénylacétique,Autorisation d'exportation requise sans autorisation à l'importation.
Estonie,Acide anthranilique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Estonie,Pipéridine,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Estonie,Permanganate de potassium,Autorisation d'exportation requise sans autorisation à l'importation.
Estonie,Acide chlorhydrique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Estonie,Acide sulfurique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Estonie,Toluéne,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Estonie,Ether éthylique,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Estonie,Acétone,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Estonie,Méthyléthylcétone,Pas d'autorisation requise au titre de la réglementation sur les précurseurs.
Estonie,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Estonie,Médicaments et médicaments vétérinaires contenant de l'éphédrine,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Estonie,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Estonie,Médicaments et médicaments vétérinaires contenant de la pseudo-éphédrine (DCI) ou ses sels,Pas d'autorisation requise pour la catégorie 4 au sein de L'Union Européenne.
Eswatini,Méthyl 3-(1.3-benzodioxol-5-yl)-2-méthyloxirane-2-carboxylate (méthylglycidate de PMK),Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Acide 3-(1.3-benzodioxol-5-yl)-2- méthyloxirane-2-carboxylique,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Alpha-phénylacétoacétamide,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Méthyl 2-méthyl-3-phényloxirane-2-carboxylate,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Acide 2-méthyl-3-phényloxirane-2-carboxylique,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Méthyl alpha-phénylacétoacétate(MAPA),Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Phényl 1 Propanone 2,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Acide N-acétylanthranilique,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Isosafrole (cis + trans),Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,3.4-Méthylénedioxy-phénylpropane-2-one,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Pipéronal,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Safrole,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Chloroéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Chloropseudoéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Ephédrine (matiére premiére),Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Pseudoéphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Noréphédrine,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Ergométrine,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Ergotamine,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Acide lysergique,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Huile de sassafras,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,Alpha-phénylacétoacétonitrile,Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,4-anilino-N-phénétyl-piperidine(ANPP),Autorisation d'exportation requise sans autorisation à l'importation.
Eswatini,N-phénétyl-4-pipréridone(NPP),Autorisation d'exportation requise sans autorisation à l'importation.
